index,country_iso3,GDP,population
0,AFG,2515.55,36296111
24,ALB,13088.31,2896307
48,DZA,11644.06,41389174
72,AGO,7681.96,31825299
96,ATG,20190.63,97115
120,ARG,23597.12,44780675
144,ARM,11974.03,2925559
168,ABW,36893.48,101665
192,AUS,49748.18,21332293
216,AUT,54390.55,8453501
240,AZE,14184.79,10047719
264,BHS,37211.84,389486
288,BHR,47486.02,1641164
312,BGD,4450.31,159685421
336,BRB,15817.71,287021
360,BLR,18267.24,9445638
384,BEL,50719.83,10938735
408,BLZ,6872.66,390351
432,BEN,3044.51,8902134
456,BTN,10851.9,763094
480,BOL,8406.74,11513102
504,BIH,13836.66,3300998
528,BWA,17253.31,2303703
552,BRA,14596.87,184833335
576,BRN,60280.82,433296
600,BGR,21533.74,7524084
624,BFA,2053.51,17586029
648,BDI,770.707,9844301
672,CPV,6535.1,549936
696,KHM,4097.53,16486542
720,CMR,3554.52,25876387
744,CAN,48688.07,36026668
768,CAF,912.808,4745179
792,TCD,1600.06,15946882
816,CHL,23718.0,18952035
840,CHN,14253.9,1329915177
864,COL,14202.93,50339443
888,COM,2980.06,759390
912,COD,1046.71,69020749
936,COG,4986.53,4145400
960,CRI,19711.65,4949955
984,CIV,4729.65,25716554
1008,HRV,26775.7,4130299
1032,CYP,38277.37,1198574
1056,CZE,39031.09,10689213
1080,DNK,55673.46,5771877
1104,DJI,4545.09,973557
1128,DOM,17301.38,10738957
1152,ECU,11623.72,15951832
1176,EGY,11158.25,100388076
1200,SLV,8454.05,6183877
1224,GNQ,22449.9,1355982
1248,ERI,1537.45,3497117
1272,EST,33937.44,1332103
1296,SWZ,8650.85,1113994
1320,ETH,2321.44,95385793
1344,FJI,13316.59,889955
1368,FIN,47621.51,5365784
1392,FRA,46369.7,62879535
1416,GAB,15302.64,2172578
1440,GMB,2072.65,1905020
1464,GEO,13595.58,3996762
1488,DEU,53254.66,80827001
1512,GHA,5028.02,26607641
1536,GRC,28558.3,10887640
1560,GRD,16217.5,112002
1584,GTM,7908.46,16583079
1608,GIN,2252.16,12771246
1632,GNB,2253.42,1920917
1656,GUY,11964.64,782775
1680,HTI,2980.96,10250922
1704,HND,5557.93,9746115
1728,HKG,59676.48,6924642
1752,HUN,29801.55,9927380
1776,ISL,56944.8,339037
1800,IND,6183.0,1366417756
1824,IDN,11073.52,258383257
1848,IRN,14402.19,82913893
1872,IRQ,10916.39,39309789
1896,IRL,78299.41,4415871
1920,ISR,38918.09,8243849
1944,ITA,41748.26,59325232
1968,JAM,10286.74,2948277
1992,JPN,41408.95,127763267
2016,JOR,10089.53,10101697
2040,KAZ,24699.3,18080023
2064,KEN,4475.92,52573967
2088,KIR,2036.11,117608
2112,KOR,41001.06,50607904
2136,KWT,46479.26,4207077
2160,KGZ,5094.37,5422298
2184,LAO,7255.17,6953031
2208,LVA,28547.99,2171248
2232,LBN,15987.65,6855709
2256,LSO,2752.74,2125267
2280,LBR,1662.31,4702224
2304,LBY,10708.89,6777453
2328,LTU,33826.61,3212867
2352,LUX,113905.41,507890
2376,MAC,120286.6,640446
2400,MDG,1586.4,24234080
2424,MWI,945.343,18628749
2448,MYS,25897.24,31949789
2472,MDV,24928.29,530957
2496,MLI,2315.16,19077755
2520,MLT,43991.84,440377
2544,MRT,5601.83,4525698
2568,MUS,21415.34,1267184
2592,MEX,19933.5,127575529
2616,FSM,3291.46,113811
2640,MDA,11547.4,4043258
2664,MNG,11083.56,3225166
2688,MNE,19703.46,627988
2712,MAR,7581.0,33241898
2736,MOZ,1245.03,27042001
2760,MMR,4332.72,54045422
2784,NAM,10316.89,2448300
2808,NPL,3565.92,27632682
2832,NLD,55509.26,16682927
2856,NZL,40971.13,4323338
2880,NIC,5995.6,5982530
2904,NER,1163.64,21602388
2928,NGA,5190.36,200963603
2952,MKD,15640.3,2083458
2976,NOR,62782.11,4885878
3000,OMN,29758.24,4974992
3024,PAK,4817.92,191260799
3048,PAN,30510.96,3901311
3072,PNG,3809.91,8776119
3096,PRY,12437.52,7044639
3120,PER,12536.81,32510462
3144,PHL,8199.05,108116622
3168,POL,30161.55,38329784
3192,PRT,33086.05,10226178
3216,PRI,34627.22,2933404
3240,QAT,91742.83,2832071
3264,ROU,27219.98,20471860
3288,RUS,25999.32,145734034
3312,RWA,2005.48,12301969
3336,WSM,5601.13,197093
3360,STP,3975.03,215048
3384,SAU,48014.57,34268529
3408,SEN,3203.9,16296362
3432,SRB,16621.47,8963761
3456,SYC,27711.69,97741
3480,SLE,1633.73,7650149
3504,SGP,95350.44,5804343
3528,SVK,30933.6,5457012
3552,SVN,36678.31,2023049
3576,SLB,2467.93,571329
3600,SOM,916.435,15442906
3624,ZAF,12681.72,51216967
3648,SSD,888.762,11062114
3672,ESP,39626.47,46931011
3696,LKA,12584.1,21323734
3720,LCA,15253.74,182795
3744,VCT,12201.78,110593
3768,SUR,16015.83,581363
3792,SWE,52413.09,9139759
3816,CHE,69853.1,8591361
3840,SYR,,17070132
3864,TWN,48500.85,23773881
3888,TJK,3070.05,9321023
3912,TZA,2527.81,49960563
3936,THA,17422.95,68714519
3960,TLS,3145.48,1293120
3984,TGO,2012.26,8082359
4008,TON,5813.76,103199
4032,TTO,26342.58,1394969
4056,TUN,10467.26,11694721
4080,TUR,28242.49,72326992
4104,TKM,14324.56,5942094
4128,UGA,2382.08,41166588
4152,UKR,11942.82,44487708
4176,ARE,62864.04,9770526
4200,GBR,45923.36,63459801
4224,USA,60105.85,329064917
4248,URY,22637.31,3449290
4272,UZB,6573.22,32981715
4296,VUT,2739.3,299882
4320,VEN,12323.37,29402480
4344,VNM,9085.61,96462108
4368,YEM,2025.07,25823488
4392,ZMB,3407.31,17861034
4416,ZWE,2965.87,14645473
